rank,cycle,party,donor_count,donation_count,total_amount
Other Faculty,2008,DEM,208,263,109336.00
Other Faculty,2008,REP,26,39,19695.00
Other Faculty,2008,OTH,1287,2136,982931.00
Other Faculty,2012,DEM,425,733,337072.00
Other Faculty,2012,REP,50,62,46433.00
Other Faculty,2012,OTH,1261,2003,1218086.00
Other Faculty,2016,DEM,1287,13653,955352.00
Other Faculty,2016,REP,113,313,55105.00
Other Faculty,2016,OTH,1651,9789,1295407.00
Other Faculty,2020,DEM,4462,50946,5118061.00
Other Faculty,2020,REP,232,1089,208402.00
Other Faculty,2020,OTH,1850,10396,1545498.00
Other Faculty,2024,DEM,2676,20385,2902718.00
Other Faculty,2024,REP,166,618,157097.00
Other Faculty,2024,OTH,1532,8311,1267098.00
Other Faculty,2026,DEM,643,4165,739431.00
Other Faculty,2026,REP,35,153,32148.00
Other Faculty,2026,OTH,405,2055,251928.00
Postdoc,2008,DEM,5,5,1204.00
Postdoc,2008,OTH,64,87,41015.00
Postdoc,2012,DEM,8,10,3150.00
Postdoc,2012,OTH,63,75,35779.00
Postdoc,2016,DEM,98,885,29426.00
Postdoc,2016,REP,1,1,50.00
Postdoc,2016,OTH,96,661,59786.00
Postdoc,2020,DEM,483,5567,386360.00
Postdoc,2020,REP,1,1,42.00
Postdoc,2020,OTH,117,394,48313.00
Postdoc,2024,DEM,137,876,91963.00
Postdoc,2024,REP,2,15,480.00
Postdoc,2024,OTH,79,439,406038.00
Postdoc,2026,DEM,23,208,25966.00
Postdoc,2026,OTH,30,194,107499.00
Research Faculty,2008,DEM,31,34,13883.00
Research Faculty,2008,REP,6,8,2770.00
Research Faculty,2008,OTH,199,327,144489.00
Research Faculty,2012,DEM,64,106,52756.00
Research Faculty,2012,REP,5,5,1500.00
Research Faculty,2012,OTH,151,266,160584.00
Research Faculty,2016,DEM,211,3562,167205.00
Research Faculty,2016,REP,21,138,28587.00
Research Faculty,2016,OTH,202,1347,136464.00
Research Faculty,2020,DEM,597,6813,830147.00
Research Faculty,2020,REP,37,472,58297.00
Research Faculty,2020,OTH,243,1298,385049.00
Research Faculty,2024,DEM,359,3074,618121.00
Research Faculty,2024,REP,26,226,26100.00
Research Faculty,2024,OTH,192,1313,755680.00
Research Faculty,2026,DEM,78,534,146534.00
Research Faculty,2026,REP,7,29,2387.00
Research Faculty,2026,OTH,40,290,131554.00
