university,cycle,party,donor_count,donation_count,total_amount
Fordham University,2026,DEM,29,246,42078.00
Fordham University,2026,REP,1,2,5500.00
Fordham University,2026,OTH,9,60,4108.00
George Mason University,2008,DEM,88,161,77125.00
George Mason University,2008,REP,16,26,16200.00
George Mason University,2008,OTH,5,6,2450.00
George Mason University,2012,DEM,69,178,82163.00
George Mason University,2012,REP,21,40,27950.00
George Mason University,2012,OTH,5,5,1746.00
George Mason University,2016,DEM,86,573,89924.00
George Mason University,2016,REP,24,48,12855.00
George Mason University,2016,OTH,8,66,3525.00
George Mason University,2020,DEM,156,1790,241324.00
George Mason University,2020,REP,24,184,31884.00
George Mason University,2020,OTH,38,159,23156.00
George Mason University,2024,DEM,140,1022,204730.00
George Mason University,2024,REP,22,54,36126.00
George Mason University,2024,OTH,26,104,19482.00
George Mason University,2026,DEM,37,322,178919.00
George Mason University,2026,REP,1,1,100.00
George Mason University,2026,OTH,13,52,45796.00
George Washington University,2008,DEM,140,305,204225.00
George Washington University,2008,REP,20,37,24925.00
George Washington University,2008,OTH,8,11,6300.00
George Washington University,2012,DEM,111,241,130940.00
George Washington University,2012,REP,20,34,23190.00
George Washington University,2012,OTH,7,10,5200.00
George Washington University,2016,DEM,172,1026,203584.00
George Washington University,2016,REP,12,21,7964.00
George Washington University,2016,OTH,12,24,4925.00
George Washington University,2020,DEM,254,2557,436297.00
George Washington University,2020,REP,6,8,1891.00
George Washington University,2020,OTH,53,230,30381.00
George Washington University,2024,DEM,199,1108,305483.00
George Washington University,2024,REP,3,28,8527.00
George Washington University,2024,OTH,31,134,32265.00
George Washington University,2026,DEM,53,198,86510.00
George Washington University,2026,OTH,20,64,22706.00
Georgetown University,2008,DEM,253,532,345835.00
Georgetown University,2008,REP,17,33,19700.00
Georgetown University,2008,OTH,11,16,10450.00
Georgetown University,2012,DEM,165,331,283766.00
Georgetown University,2012,REP,31,47,63576.00
Georgetown University,2012,OTH,10,12,108000.00
Georgetown University,2016,DEM,226,1281,342845.00
Georgetown University,2016,REP,13,21,18375.00
Georgetown University,2016,OTH,12,28,38137.00
Georgetown University,2020,DEM,394,5855,1130903.00
Georgetown University,2020,REP,9,47,47274.00
Georgetown University,2020,OTH,92,522,117889.00
Georgetown University,2024,DEM,296,3142,850710.00
Georgetown University,2024,REP,4,8,12108.00
Georgetown University,2024,OTH,74,936,138902.00
Georgetown University,2026,DEM,95,597,120170.00
Georgetown University,2026,REP,1,6,126.00
Georgetown University,2026,OTH,28,84,35165.00
Georgia Tech,2008,DEM,55,102,43058.00
Georgia Tech,2008,REP,7,7,3025.00
Georgia Tech,2008,OTH,1,1,1000.00
Georgia Tech,2012,DEM,39,103,36892.00
Georgia Tech,2012,REP,6,6,13750.00
Georgia Tech,2012,OTH,2,2,450.00
Georgia Tech,2016,DEM,78,564,79843.00
Georgia Tech,2016,REP,10,33,8417.00
Georgia Tech,2016,OTH,10,50,3482.00
Georgia Tech,2020,DEM,169,2961,313146.00
Georgia Tech,2020,REP,8,44,28210.00
Georgia Tech,2020,OTH,46,317,41546.00
Georgia Tech,2024,DEM,93,633,156201.00
Georgia Tech,2024,REP,9,38,5311.00
Georgia Tech,2024,OTH,26,162,16654.00
Georgia Tech,2026,DEM,37,172,50439.00
Georgia Tech,2026,REP,1,1,200.00
Georgia Tech,2026,OTH,16,63,6221.00
Grinnell College,2008,DEM,9,15,5400.00
Grinnell College,2012,DEM,12,16,4650.00
Grinnell College,2016,DEM,26,398,22764.00
Grinnell College,2016,OTH,1,26,650.00
Grinnell College,2020,DEM,45,771,132759.00
Grinnell College,2020,OTH,7,45,5576.00
Grinnell College,2024,DEM,37,378,66620.00
Grinnell College,2024,OTH,4,8,1600.00
Grinnell College,2026,DEM,9,82,11758.00
Grinnell College,2026,OTH,1,2,200.00
Hamilton College,2008,DEM,21,27,7750.00
Hamilton College,2012,DEM,14,29,9200.00
Hamilton College,2016,DEM,28,199,18346.00
Hamilton College,2016,REP,1,4,350.00
Hamilton College,2016,OTH,3,14,760.00
Hamilton College,2020,DEM,47,917,76696.00
Hamilton College,2020,REP,1,1,50.00
Hamilton College,2020,OTH,9,27,2585.00
Hamilton College,2024,DEM,30,301,53557.00
Hamilton College,2024,OTH,5,33,1439.00
Hamilton College,2026,DEM,6,28,10840.00
Hamilton College,2026,OTH,1,7,280.00
Harvard University,2008,DEM,519,1239,1094906.00
Harvard University,2008,REP,38,48,67151.00
Harvard University,2008,OTH,32,50,52977.00
Harvard University,2012,DEM,524,1393,1413820.00
Harvard University,2012,REP,54,82,297100.00
Harvard University,2012,OTH,36,83,48504.00
Harvard University,2016,DEM,521,3868,1324755.00
Harvard University,2016,REP,25,35,111850.00
Harvard University,2016,OTH,72,361,169038.00
Harvard University,2020,DEM,819,15270,3083814.00
Harvard University,2020,REP,21,45,86215.00
Harvard University,2020,OTH,224,3672,711217.00
Harvard University,2024,DEM,504,4965,2389246.00
Harvard University,2024,REP,16,121,120740.00
Harvard University,2024,OTH,183,955,532874.00
Harvard University,2026,DEM,191,1435,713880.00
Harvard University,2026,REP,10,39,30236.00
Harvard University,2026,OTH,75,370,168409.00
Haverford College,2008,DEM,13,28,9700.00
Haverford College,2008,REP,2,3,2700.00
Haverford College,2012,DEM,9,15,8845.00
Haverford College,2012,OTH,2,3,670.00
Haverford College,2016,DEM,16,240,19142.00
Haverford College,2016,OTH,1,4,365.00
Haverford College,2020,DEM,23,400,25715.00
Haverford College,2020,REP,1,1,250.00
Haverford College,2020,OTH,7,20,1759.00
Haverford College,2024,DEM,15,263,26077.00
Haverford College,2024,REP,1,6,620.00
Haverford College,2024,OTH,7,76,3518.00
Haverford College,2026,DEM,5,41,1061.00
Haverford College,2026,OTH,2,59,1882.00
Hofstra University,2008,DEM,27,48,17301.00
Hofstra University,2008,REP,2,2,2600.00
Hofstra University,2008,OTH,2,2,500.00
Hofstra University,2012,DEM,28,41,13080.00
Hofstra University,2012,REP,1,1,400.00
Hofstra University,2016,DEM,47,374,27486.00
Hofstra University,2016,REP,3,4,1550.00
Hofstra University,2016,OTH,2,2,260.00
Hofstra University,2020,DEM,58,959,65339.00
Hofstra University,2020,REP,2,4,650.00
Hofstra University,2020,OTH,13,102,11729.00
Hofstra University,2024,DEM,56,890,55579.00
Hofstra University,2024,OTH,16,224,8241.00
Hofstra University,2026,DEM,17,186,19815.00
Hofstra University,2026,OTH,9,132,4207.00
Howard University,2008,DEM,87,159,107507.00
Howard University,2008,REP,2,2,3000.00
Howard University,2008,OTH,2,3,1500.00
Howard University,2012,DEM,53,152,176773.00
Howard University,2012,OTH,2,9,2200.00
Howard University,2016,DEM,58,590,125355.00
Howard University,2016,REP,2,3,850.00
Howard University,2016,OTH,7,10,51800.00
Howard University,2020,DEM,100,1025,144762.00
Howard University,2020,REP,1,1,500.00
Howard University,2020,OTH,21,53,15181.00
Howard University,2024,DEM,95,749,158640.00
Howard University,2024,REP,1,2,208.00
Howard University,2024,OTH,22,107,29229.00
Howard University,2026,DEM,23,98,24824.00
Howard University,2026,OTH,5,20,2261.00
Illinois Institute of Technology,2008,DEM,22,58,20740.00
Illinois Institute of Technology,2008,REP,2,3,1500.00
Illinois Institute of Technology,2008,OTH,2,4,3500.00
Illinois Institute of Technology,2012,DEM,19,43,18005.00
Illinois Institute of Technology,2012,REP,1,1,250.00
Illinois Institute of Technology,2016,DEM,19,140,14580.00
Illinois Institute of Technology,2016,OTH,2,4,65.00
Illinois Institute of Technology,2020,DEM,24,922,94565.00
Illinois Institute of Technology,2020,OTH,9,57,9525.00
Illinois Institute of Technology,2024,DEM,19,243,42185.00
Illinois Institute of Technology,2024,OTH,8,47,5108.00
Illinois Institute of Technology,2026,DEM,4,13,4950.00
Illinois Institute of Technology,2026,OTH,1,8,400.00
Indiana University,2008,DEM,177,340,170130.00
Indiana University,2008,REP,11,17,9100.00
Indiana University,2008,OTH,17,18,6834.00
Indiana University,2012,DEM,149,442,193039.00
Indiana University,2012,REP,27,36,18975.00
Indiana University,2012,OTH,10,15,8577.00
Indiana University,2016,DEM,305,2027,276207.00
Indiana University,2016,REP,19,32,11865.00
Indiana University,2016,OTH,35,177,22886.00
Indiana University,2020,DEM,446,7646,778971.00
Indiana University,2020,REP,11,39,15686.00
Indiana University,2020,OTH,103,475,71256.00
Indiana University,2024,DEM,291,3323,548968.00
Indiana University,2024,REP,10,32,6871.00
Indiana University,2024,OTH,76,517,48556.00
Indiana University,2026,DEM,54,333,48884.00
Indiana University,2026,REP,4,4,4300.00
Indiana University,2026,OTH,33,188,14643.00
Iowa State University,2008,DEM,52,121,44695.00
Iowa State University,2008,REP,6,10,5300.00
Iowa State University,2008,OTH,3,4,3050.00
Iowa State University,2012,DEM,48,144,65831.00
Iowa State University,2012,REP,4,6,5961.00
Iowa State University,2012,OTH,6,23,7800.00
Iowa State University,2016,DEM,80,597,72419.00
Iowa State University,2016,REP,16,39,9735.00
Iowa State University,2016,OTH,7,34,3720.00
Iowa State University,2020,DEM,156,1862,220627.00
Iowa State University,2020,REP,15,55,32521.00
Iowa State University,2020,OTH,15,240,11347.00
Iowa State University,2024,DEM,80,720,204450.00
Iowa State University,2024,REP,12,32,16008.00
Iowa State University,2024,OTH,13,134,18200.00
Iowa State University,2026,DEM,24,491,34819.00
Iowa State University,2026,REP,1,1,500.00
Iowa State University,2026,OTH,9,104,4732.00
Jackson State University,2008,DEM,5,10,2612.00
Jackson State University,2012,DEM,4,8,2100.00
Jackson State University,2012,REP,2,4,6500.00
Jackson State University,2016,DEM,3,22,1027.00
Jackson State University,2020,DEM,4,98,2625.00
Jackson State University,2020,REP,1,2,150.00
Jackson State University,2024,DEM,4,8,5080.00
Jackson State University,2024,REP,2,2,1100.00
Jackson State University,2026,DEM,4,5,1450.00
Jackson State University,2026,REP,1,1,250.00
Johns Hopkins University,2008,DEM,163,337,182998.00
Johns Hopkins University,2008,REP,12,23,14450.00
Johns Hopkins University,2008,OTH,7,8,2300.00
Johns Hopkins University,2012,DEM,132,282,132267.00
Johns Hopkins University,2012,REP,8,12,10250.00
Johns Hopkins University,2012,OTH,10,16,11100.00
Johns Hopkins University,2016,DEM,222,1721,295098.00
Johns Hopkins University,2016,REP,3,4,854.00
Johns Hopkins University,2016,OTH,22,98,15515.00
Johns Hopkins University,2020,DEM,346,4245,836739.00
Johns Hopkins University,2020,REP,4,8,2750.00
Johns Hopkins University,2020,OTH,86,396,74269.00
Johns Hopkins University,2024,DEM,245,2322,508688.00
Johns Hopkins University,2024,REP,8,33,7087.00
Johns Hopkins University,2024,OTH,65,342,67820.00
Johns Hopkins University,2026,DEM,54,243,90877.00
Johns Hopkins University,2026,REP,2,2,350.00
Johns Hopkins University,2026,OTH,26,123,14278.00
Kansas State University,2008,DEM,21,43,13600.00
Kansas State University,2008,REP,14,17,5571.00
Kansas State University,2008,OTH,1,1,200.00
Kansas State University,2012,DEM,15,29,13394.00
Kansas State University,2012,REP,3,6,1750.00
Kansas State University,2012,OTH,4,19,8150.00
Kansas State University,2016,DEM,35,306,26848.00
Kansas State University,2016,REP,6,16,2320.00
Kansas State University,2016,OTH,10,54,9090.00
Kansas State University,2020,DEM,70,876,97159.00
Kansas State University,2020,REP,7,23,3875.00
Kansas State University,2020,OTH,16,81,6966.00
Kansas State University,2024,DEM,29,309,55919.00
Kansas State University,2024,REP,5,16,4506.00
Kansas State University,2024,OTH,9,24,5968.00
Kansas State University,2026,DEM,8,50,3807.00
Kansas State University,2026,OTH,7,41,2560.00
Lehigh University,2008,DEM,14,31,11225.00
Lehigh University,2008,REP,3,5,1150.00
Lehigh University,2012,DEM,16,25,13608.00
Lehigh University,2012,REP,1,1,500.00
Lehigh University,2012,OTH,1,1,250.00
Lehigh University,2016,DEM,31,381,27721.00
Lehigh University,2016,REP,1,2,1000.00
Lehigh University,2016,OTH,1,2,500.00
Lehigh University,2020,DEM,71,1436,151014.00
Lehigh University,2020,REP,2,10,1408.00
Lehigh University,2020,OTH,11,80,9967.00
Lehigh University,2024,DEM,62,363,71964.00
Lehigh University,2024,REP,3,52,23308.00
Lehigh University,2024,OTH,7,13,3470.00
Lehigh University,2026,DEM,13,36,8036.00
Lehigh University,2026,OTH,3,8,870.00
Louisiana State University,2008,DEM,21,30,14200.00
Louisiana State University,2008,REP,11,18,9300.00
Louisiana State University,2008,OTH,2,2,550.00
Louisiana State University,2012,DEM,12,15,9100.00
Louisiana State University,2012,REP,11,14,5225.00
Louisiana State University,2012,OTH,2,3,900.00
Louisiana State University,2016,DEM,47,375,24256.00
Louisiana State University,2016,REP,9,15,7550.00
Louisiana State University,2016,OTH,5,34,1813.00
Louisiana State University,2020,DEM,63,416,42090.00
Louisiana State University,2020,REP,11,41,7000.00
Louisiana State University,2020,OTH,11,118,3289.00
Louisiana State University,2024,DEM,33,393,63661.00
Louisiana State University,2024,REP,5,14,4914.00
Louisiana State University,2024,OTH,9,140,17296.00
Louisiana State University,2026,DEM,6,16,3870.00
Louisiana State University,2026,REP,1,10,3061.00
Louisiana State University,2026,OTH,8,163,2944.00
Loyola Marymount,2008,DEM,9,12,6200.00
Loyola Marymount,2012,DEM,13,20,6500.00
Loyola Marymount,2012,REP,1,1,250.00
Loyola Marymount,2016,DEM,27,202,15516.00
Loyola Marymount,2016,REP,1,2,500.00
Loyola Marymount,2020,DEM,61,2313,114832.00
Loyola Marymount,2020,OTH,9,784,19707.00
Loyola Marymount,2024,DEM,39,2429,130922.00
Loyola Marymount,2024,OTH,6,911,31499.00
Loyola Marymount,2026,DEM,10,602,34322.00
Loyola Marymount,2026,OTH,3,702,39089.00
Loyola University Chicago,2008,DEM,36,62,31220.00
Loyola University Chicago,2008,OTH,4,5,2100.00
Loyola University Chicago,2012,DEM,21,45,21650.00
Loyola University Chicago,2012,REP,1,3,1250.00
Loyola University Chicago,2012,OTH,2,2,500.00
Loyola University Chicago,2016,DEM,56,802,40659.00
Loyola University Chicago,2016,REP,3,4,725.00
Loyola University Chicago,2016,OTH,5,32,1490.00
Loyola University Chicago,2020,DEM,110,2235,149753.00
Loyola University Chicago,2020,REP,2,4,1100.00
Loyola University Chicago,2020,OTH,16,173,10184.00
Loyola University Chicago,2024,DEM,62,510,69616.00
Loyola University Chicago,2024,REP,1,4,272.00
Loyola University Chicago,2024,OTH,18,133,7876.00
Loyola University Chicago,2026,DEM,20,83,14375.00
Loyola University Chicago,2026,OTH,11,84,2626.00
MIT,2008,DEM,205,452,309419.00
MIT,2008,REP,12,17,10400.00
MIT,2008,OTH,19,48,23800.00
MIT,2012,DEM,233,632,424214.00
MIT,2012,REP,19,39,63000.00
MIT,2012,OTH,18,62,29740.00
MIT,2016,DEM,259,2601,679413.00
MIT,2016,REP,11,23,57100.00
MIT,2016,OTH,27,120,41841.00
MIT,2020,DEM,445,6480,1470768.00
MIT,2020,REP,8,63,19007.00
MIT,2020,OTH,129,888,213250.00
MIT,2024,DEM,275,4726,1415286.00
MIT,2024,REP,12,43,62390.00
MIT,2024,OTH,96,977,306721.00
MIT,2026,DEM,82,826,243158.00
MIT,2026,REP,1,2,600.00
MIT,2026,OTH,40,404,53447.00
Macalester College,2008,DEM,13,24,8381.00
Macalester College,2008,REP,1,1,250.00
Macalester College,2008,OTH,2,2,500.00
Macalester College,2012,DEM,9,25,11938.00
Macalester College,2016,DEM,15,258,19146.00
Macalester College,2016,OTH,1,12,527.00
Macalester College,2020,DEM,29,159,28193.00
Macalester College,2020,OTH,5,9,1342.00
Macalester College,2024,DEM,25,97,30522.00
Macalester College,2024,OTH,7,51,2195.00
Macalester College,2026,DEM,3,4,900.00
Macalester College,2026,OTH,5,23,1175.00
Marquette University,2008,DEM,16,28,11600.00
Marquette University,2008,REP,2,2,803.00
Marquette University,2008,OTH,5,11,4250.00
Marquette University,2012,DEM,14,21,9225.00
Marquette University,2012,REP,2,2,1250.00
Marquette University,2016,DEM,29,214,33693.00
Marquette University,2016,REP,5,8,11400.00
Marquette University,2016,OTH,5,7,2927.00
Marquette University,2020,DEM,41,302,28304.00
Marquette University,2020,REP,3,9,4450.00
Marquette University,2020,OTH,11,28,3398.00
Marquette University,2024,DEM,22,324,40707.00
Marquette University,2024,REP,3,11,5560.00
Marquette University,2024,OTH,9,113,22645.00
Marquette University,2026,DEM,5,23,1555.00
Marquette University,2026,OTH,4,26,6365.00
Michigan State University,2008,DEM,105,193,86844.00
Michigan State University,2008,REP,8,10,4530.00
Michigan State University,2008,OTH,10,12,6280.00
Michigan State University,2012,DEM,128,238,94695.00
Michigan State University,2012,REP,11,12,7425.00
Michigan State University,2012,OTH,14,17,4714.00
Michigan State University,2016,DEM,199,1597,168750.00
Michigan State University,2016,REP,8,39,7125.00
Michigan State University,2016,OTH,24,231,11505.00
Michigan State University,2020,DEM,368,4013,617194.00
Michigan State University,2020,REP,11,135,21035.00
Michigan State University,2020,OTH,64,251,45210.00
Michigan State University,2024,DEM,285,2664,581608.00
Michigan State University,2024,REP,15,38,5173.00
Michigan State University,2024,OTH,67,326,59839.00
Michigan State University,2026,DEM,77,418,83854.00
Michigan State University,2026,REP,2,6,295.00
Michigan State University,2026,OTH,25,91,8725.00
Middlebury College,2008,DEM,13,20,5100.00
Middlebury College,2012,DEM,9,13,6100.00
Middlebury College,2016,DEM,36,260,17775.00
Middlebury College,2016,REP,1,1,250.00
Middlebury College,2016,OTH,3,16,3355.00
Middlebury College,2020,DEM,41,634,28489.00
Middlebury College,2020,OTH,7,25,2160.00
Middlebury College,2024,DEM,31,210,21920.00
Middlebury College,2024,REP,1,1,107.00
Middlebury College,2024,OTH,4,23,2404.00
Middlebury College,2026,DEM,4,53,2210.00
Middlebury College,2026,OTH,3,16,718.00
Mississippi State University,2008,DEM,4,7,2100.00
Mississippi State University,2008,REP,4,6,2750.00
Mississippi State University,2008,OTH,1,2,550.00
Mississippi State University,2012,DEM,2,3,700.00
Mississippi State University,2016,DEM,17,355,20908.00
Mississippi State University,2016,REP,5,12,3460.00
Mississippi State University,2016,OTH,1,7,402.00
Mississippi State University,2020,DEM,35,994,33371.00
Mississippi State University,2020,REP,5,7,4010.00
Mississippi State University,2020,OTH,6,104,2789.00
Mississippi State University,2024,DEM,26,325,49584.00
Mississippi State University,2024,REP,3,10,1640.00
Mississippi State University,2024,OTH,9,42,8521.00
Mississippi State University,2026,DEM,8,30,5843.00
Mississippi State University,2026,REP,1,1,1705.00
Mississippi State University,2026,OTH,2,14,341.00
Morgan State University,2008,DEM,14,22,7350.00
Morgan State University,2008,REP,1,2,750.00
Morgan State University,2008,OTH,1,1,240.00
Morgan State University,2012,DEM,12,13,4690.00
Morgan State University,2016,DEM,15,76,11673.00
Morgan State University,2020,DEM,32,250,19757.00
Morgan State University,2020,REP,2,4,1000.00
Morgan State University,2020,OTH,3,5,1240.00
Morgan State University,2024,DEM,27,195,90081.00
Morgan State University,2024,REP,1,1,500.00
Morgan State University,2024,OTH,10,41,6480.00
Morgan State University,2026,DEM,10,337,13031.00
Morgan State University,2026,OTH,3,97,1780.00
Mount Holyoke,2008,DEM,14,24,7600.00
Mount Holyoke,2008,OTH,2,2,749.00
Mount Holyoke,2012,DEM,14,56,20150.00
Mount Holyoke,2012,OTH,4,8,2850.00
Mount Holyoke,2016,DEM,15,428,18842.00
Mount Holyoke,2016,OTH,3,60,1637.00
Mount Holyoke,2020,DEM,38,1303,74252.00
Mount Holyoke,2020,OTH,13,196,8296.00
Mount Holyoke,2024,DEM,24,461,30055.00
Mount Holyoke,2024,OTH,5,126,4928.00
Mount Holyoke,2026,DEM,9,104,7207.00
Mount Holyoke,2026,OTH,4,60,4336.00
Mount Sinai School of Medicine,2008,DEM,15,17,10825.00
Mount Sinai School of Medicine,2008,OTH,3,3,1250.00
Mount Sinai School of Medicine,2012,DEM,15,30,14688.00
Mount Sinai School of Medicine,2012,OTH,3,3,900.00
Mount Sinai School of Medicine,2016,DEM,11,182,5533.00
Mount Sinai School of Medicine,2016,OTH,4,14,950.00
Mount Sinai School of Medicine,2020,DEM,13,202,10486.00
Mount Sinai School of Medicine,2020,OTH,4,25,826.00
Mount Sinai School of Medicine,2024,DEM,11,67,5137.00
Mount Sinai School of Medicine,2024,OTH,3,32,947.00
Mount Sinai School of Medicine,2026,DEM,3,7,2325.00
Mount Sinai School of Medicine,2026,OTH,1,10,210.00
NC State University,2008,DEM,47,90,128939.00
NC State University,2008,REP,3,3,950.00
NC State University,2008,OTH,2,2,28700.00
NC State University,2012,DEM,54,87,28530.00
NC State University,2012,REP,2,2,500.00
NC State University,2012,OTH,3,3,750.00
NC State University,2016,DEM,81,557,73864.00
NC State University,2016,REP,4,19,1290.00
NC State University,2016,OTH,6,13,1812.00
NC State University,2020,DEM,137,1134,136845.00
NC State University,2020,REP,7,35,7062.00
NC State University,2020,OTH,27,76,10826.00
NC State University,2024,DEM,78,776,119623.00
NC State University,2024,REP,6,32,2336.00
NC State University,2024,OTH,15,101,11482.00
NC State University,2026,DEM,28,347,21135.00
NC State University,2026,OTH,9,73,8183.00
New Jersey Institute of Technology,2008,DEM,14,29,13459.00
New Jersey Institute of Technology,2008,OTH,1,2,1000.00
New Jersey Institute of Technology,2012,DEM,15,27,10825.00
New Jersey Institute of Technology,2012,OTH,2,2,800.00
New Jersey Institute of Technology,2016,DEM,24,185,12788.00
New Jersey Institute of Technology,2016,REP,3,8,1285.00
New Jersey Institute of Technology,2016,OTH,4,8,625.00
New Jersey Institute of Technology,2020,DEM,32,605,52703.00
New Jersey Institute of Technology,2020,REP,2,4,3000.00
New Jersey Institute of Technology,2020,OTH,7,31,4150.00
New Jersey Institute of Technology,2024,DEM,27,279,30027.00
New Jersey Institute of Technology,2024,REP,3,12,2711.00
New Jersey Institute of Technology,2024,OTH,8,26,14930.00
New Jersey Institute of Technology,2026,DEM,5,58,16047.00
New Jersey Institute of Technology,2026,OTH,5,15,3617.00
New Mexico State University,2008,DEM,10,15,6430.00
New Mexico State University,2008,REP,2,3,1450.00
New Mexico State University,2008,OTH,3,4,1640.00
New Mexico State University,2012,DEM,8,12,4950.00
New Mexico State University,2012,REP,2,3,1500.00
New Mexico State University,2016,DEM,22,234,11125.00
New Mexico State University,2016,REP,2,6,286.00
New Mexico State University,2016,OTH,4,23,607.00
New Mexico State University,2020,DEM,40,385,46237.00
New Mexico State University,2020,REP,4,20,914.00
New Mexico State University,2020,OTH,10,33,10218.00
New Mexico State University,2024,DEM,25,114,27528.00
New Mexico State University,2024,REP,3,17,797.00
New Mexico State University,2024,OTH,3,51,1700.00
New Mexico State University,2026,DEM,3,19,4136.00
New Mexico State University,2026,OTH,2,10,350.00
New York University,2008,DEM,222,419,241906.00
New York University,2008,REP,13,32,19650.00
New York University,2008,OTH,15,21,13170.00
New York University,2012,DEM,185,434,264858.00
New York University,2012,REP,5,6,4500.00
New York University,2012,OTH,18,42,17170.00
New York University,2016,DEM,366,3686,610606.00
New York University,2016,REP,6,11,4920.00
New York University,2016,OTH,39,207,33666.00
New York University,2020,DEM,469,7604,1342045.00
New York University,2020,REP,10,67,25932.00
New York University,2020,OTH,142,1023,170261.00
New York University,2024,DEM,274,3042,603706.00
New York University,2024,REP,11,38,12550.00
New York University,2024,OTH,106,673,107150.00
New York University,2026,DEM,96,507,192869.00
New York University,2026,REP,1,3,750.00
New York University,2026,OTH,43,279,47850.00
Northeastern University,2008,DEM,69,143,113620.00
Northeastern University,2008,REP,6,6,1650.00
Northeastern University,2008,OTH,5,20,5800.00
Northeastern University,2012,DEM,76,156,84901.00
Northeastern University,2012,REP,11,17,6150.00
Northeastern University,2012,OTH,6,15,4300.00
Northeastern University,2016,DEM,97,777,142969.00
Northeastern University,2016,REP,1,2,400.00
Northeastern University,2016,OTH,12,33,12981.00
Northeastern University,2020,DEM,194,2517,448115.00
Northeastern University,2020,REP,3,8,1900.00
Northeastern University,2020,OTH,41,132,85396.00
Northeastern University,2024,DEM,143,1211,271874.00
Northeastern University,2024,REP,3,5,575.00
Northeastern University,2024,OTH,28,124,74008.00
Northeastern University,2026,DEM,42,248,50244.00
Northeastern University,2026,REP,1,1,500.00
Northeastern University,2026,OTH,21,57,43530.00
Northwestern University,2008,DEM,214,559,346315.00
Northwestern University,2008,REP,20,44,41350.00
Northwestern University,2008,OTH,27,52,77570.00
Northwestern University,2012,DEM,186,522,303168.00
Northwestern University,2012,REP,14,31,40335.00
Northwestern University,2012,OTH,14,55,53896.00
Northwestern University,2016,DEM,267,3458,393468.00
Northwestern University,2016,REP,12,44,48727.00
Northwestern University,2016,OTH,38,394,75265.00
Northwestern University,2020,DEM,417,6752,1080320.00
Northwestern University,2020,REP,12,48,89575.00
Northwestern University,2020,OTH,101,586,100214.00
Northwestern University,2024,DEM,277,2265,980535.00
Northwestern University,2024,REP,8,24,11260.00
Northwestern University,2024,OTH,87,332,132861.00
Northwestern University,2026,DEM,98,512,262859.00
Northwestern University,2026,REP,3,5,1680.00
Northwestern University,2026,OTH,32,148,26372.00
Notre Dame,2008,DEM,64,149,72851.00
Notre Dame,2008,REP,11,19,8920.00
Notre Dame,2008,OTH,5,5,6400.00
Notre Dame,2012,DEM,97,233,88443.00
Notre Dame,2012,REP,15,30,15835.00
Notre Dame,2012,OTH,5,6,2575.00
Notre Dame,2016,DEM,110,736,93206.00
Notre Dame,2016,REP,15,32,16640.00
Notre Dame,2016,OTH,11,80,7020.00
Notre Dame,2020,DEM,225,2089,290118.00
Notre Dame,2020,REP,21,64,20928.00
Notre Dame,2020,OTH,30,215,53435.00
Notre Dame,2024,DEM,110,841,114083.00
Notre Dame,2024,REP,12,85,11761.00
Notre Dame,2024,OTH,32,221,48592.00
Notre Dame,2026,DEM,31,160,25115.00
Notre Dame,2026,REP,10,25,6595.00
Notre Dame,2026,OTH,17,74,13833.00
Oberlin College,2008,DEM,33,75,27300.00
Oberlin College,2012,DEM,43,127,56302.00
Oberlin College,2012,OTH,1,1,300.00
Oberlin College,2016,DEM,44,622,54605.00
Oberlin College,2016,OTH,7,75,3665.00
Oberlin College,2020,DEM,46,428,132842.00
Oberlin College,2020,OTH,9,45,9929.00
Oberlin College,2024,DEM,38,257,57174.00
Oberlin College,2024,OTH,8,44,25560.00
Oberlin College,2026,DEM,3,10,2375.00
Oberlin College,2026,OTH,7,19,24978.00
Ohio State University,2008,DEM,149,278,114440.00
Ohio State University,2008,REP,11,20,15950.00
Ohio State University,2008,OTH,6,6,3750.00
Ohio State University,2012,DEM,164,311,149968.00
Ohio State University,2012,REP,18,31,35245.00
Ohio State University,2012,OTH,8,10,2440.00
Ohio State University,2016,DEM,253,2569,222410.00
Ohio State University,2016,REP,18,57,15745.00
Ohio State University,2016,OTH,21,141,9438.00
Ohio State University,2020,DEM,346,4053,493290.00
Ohio State University,2020,REP,14,199,30221.00
Ohio State University,2020,OTH,66,315,51859.00
Ohio State University,2024,DEM,275,2572,387588.00
Ohio State University,2024,REP,6,21,13147.00
Ohio State University,2024,OTH,58,359,36699.00
Ohio State University,2026,DEM,56,377,68394.00
Ohio State University,2026,REP,1,1,250.00
Ohio State University,2026,OTH,30,192,17770.00
Oklahoma State University,2008,DEM,20,37,12440.00
Oklahoma State University,2008,REP,3,6,3290.00
Oklahoma State University,2008,OTH,2,2,750.00
Oklahoma State University,2012,DEM,25,50,17410.00
Oklahoma State University,2012,REP,5,9,4550.00
Oklahoma State University,2012,OTH,2,2,615.00
Oklahoma State University,2016,DEM,46,522,35870.00
Oklahoma State University,2016,REP,7,19,4300.00
Oklahoma State University,2016,OTH,4,18,2229.00
Oklahoma State University,2020,DEM,63,1010,92240.00
Oklahoma State University,2020,REP,8,24,6861.00
Oklahoma State University,2020,OTH,9,49,3168.00
Oklahoma State University,2024,DEM,43,524,49020.00
Oklahoma State University,2024,REP,9,92,9120.00
Oklahoma State University,2024,OTH,8,48,2310.00
