university,cycle,party,donor_count,donation_count,total_amount
Baylor College of Medicine,2026,OTH,9,35,5986.00
Baylor University,2008,DEM,8,9,4006.00
Baylor University,2008,REP,5,8,7350.00
Baylor University,2008,OTH,2,3,1225.00
Baylor University,2012,DEM,6,7,2550.00
Baylor University,2012,REP,9,9,4600.00
Baylor University,2012,OTH,2,2,800.00
Baylor University,2016,DEM,21,265,12412.00
Baylor University,2016,REP,16,50,45388.00
Baylor University,2016,OTH,4,65,1907.00
Baylor University,2020,DEM,54,749,43196.00
Baylor University,2020,REP,16,90,11620.00
Baylor University,2020,OTH,11,141,7116.00
Baylor University,2024,DEM,33,405,44169.00
Baylor University,2024,REP,6,60,3555.00
Baylor University,2024,OTH,8,41,2659.00
Baylor University,2026,DEM,9,58,4415.00
Baylor University,2026,REP,3,20,1234.00
Baylor University,2026,OTH,9,38,8884.00
Boston College,2008,DEM,62,141,62950.00
Boston College,2008,REP,3,9,16350.00
Boston College,2008,OTH,4,4,2000.00
Boston College,2012,DEM,59,105,57545.00
Boston College,2012,REP,9,13,14725.00
Boston College,2012,OTH,2,3,1000.00
Boston College,2016,DEM,95,513,83192.00
Boston College,2016,REP,5,8,5897.00
Boston College,2016,OTH,4,6,1070.00
Boston College,2020,DEM,149,1681,259763.00
Boston College,2020,REP,4,23,12850.00
Boston College,2020,OTH,40,145,30042.00
Boston College,2024,DEM,114,586,189642.00
Boston College,2024,REP,2,9,738.00
Boston College,2024,OTH,26,102,37042.00
Boston College,2026,DEM,17,100,18440.00
Boston College,2026,OTH,9,35,11169.00
Boston University,2008,DEM,168,344,189053.00
Boston University,2008,REP,7,12,8201.00
Boston University,2008,OTH,12,16,4700.00
Boston University,2012,DEM,209,581,284007.00
Boston University,2012,REP,12,18,14950.00
Boston University,2012,OTH,12,24,13850.00
Boston University,2016,DEM,235,2296,372078.00
Boston University,2016,REP,7,9,6032.00
Boston University,2016,OTH,30,220,58804.00
Boston University,2020,DEM,436,6504,1055821.00
Boston University,2020,REP,13,187,11597.00
Boston University,2020,OTH,99,709,128996.00
Boston University,2024,DEM,290,2771,740981.00
Boston University,2024,REP,4,25,2484.00
Boston University,2024,OTH,89,525,163723.00
Boston University,2026,DEM,88,606,184818.00
Boston University,2026,REP,1,3,254.00
Boston University,2026,OTH,45,163,37428.00
Bowdoin College,2008,DEM,14,31,11250.00
Bowdoin College,2008,REP,2,2,500.00
Bowdoin College,2012,DEM,9,11,4400.00
Bowdoin College,2012,OTH,1,1,250.00
Bowdoin College,2016,DEM,20,111,9456.00
Bowdoin College,2020,DEM,30,228,40393.00
Bowdoin College,2020,REP,2,3,12666.00
Bowdoin College,2020,OTH,2,15,977.00
Bowdoin College,2024,DEM,14,38,7588.00
Bowdoin College,2024,REP,1,5,500.00
Bowdoin College,2024,OTH,2,22,1543.00
Brandeis University,2008,DEM,65,114,56875.00
Brandeis University,2008,OTH,6,7,1900.00
